epoch,loss,accuracy,val_loss,val_accuracy
1,0.060936350375413895,0.9799599051475525,1.918850064277649,0.6618704795837402
2,0.0749383270740509,0.973547101020813,1.9921444654464722,0.6294963955879211
3,0.06658925116062164,0.9771543145179749,1.9255882501602173,0.6546762585639954
4,0.0489131398499012,0.9851703643798828,2.050530195236206,0.6510791182518005
5,0.040512025356292725,0.9875751733779907,2.278383731842041,0.6546762585639954
6,0.035309676080942154,0.9899799823760986,2.309804677963257,0.6726618409156799
7,0.030082741752266884,0.9915831685066223,2.48160982131958,0.6654676198959351
8,0.030447840690612793,0.9923847913742065,2.4811437129974365,0.6654676198959351
9,0.02986256591975689,0.9907815456390381,2.485807180404663,0.6726618409156799
10,0.10261260718107224,0.9659318923950195,1.7113598585128784,0.6618704795837402
